target_active_sessions,deadline_ms,grouping,threshold_k,repetitions,event_count_mean,fixed_window_eligible_share_mean,exact_optimal_share_mean,exact_optimal_share_min,exact_optimal_share_max,local_upper_share_mean,exact_batch_count_mean,alignment_gap_closure_mean,solver_elapsed_s_mean
1000,50,route_key,128,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012843457981944084
1000,50,route_key,256,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.01261350450416406
1000,100,event_class,32,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.013074941312273344
1000,100,event_class,64,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012904312461614609
1000,100,event_class,128,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012649595737457275
1000,100,event_class,256,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012638949323445559
1000,100,pooled,32,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012720601788411537
1000,100,pooled,64,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.01288954665263494
1000,100,pooled,128,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.013359594934930405
1000,100,pooled,256,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.013164172880351543
1000,100,route_key,32,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012927664599070946
1000,100,route_key,64,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012818154413253069
1000,100,route_key,128,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012714547260353962
1000,100,route_key,256,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012580552604049444
1000,250,event_class,32,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012599993341912826
1000,250,event_class,64,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012489920326819023
1000,250,event_class,128,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012501480523496866
1000,250,event_class,256,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012452003235618273
1000,250,pooled,32,3,6564.0,0.2633852928137646,0.5688030920738667,0.48029243483788936,0.6577990987062073,0.6633457862950443,108.66666666666667,0.764391948712522,0.013681928316752115
1000,250,pooled,64,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.01273008311788241
1000,250,pooled,128,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012636258577307066
1000,250,pooled,256,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.01258752898623546
1000,250,route_key,32,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012687420938163996
1000,250,route_key,64,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012476726745565733
1000,250,route_key,128,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012430275169511637
1000,250,route_key,256,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012165662987778584
10000,10,event_class,32,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.13125894513602057
10000,10,event_class,64,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1269310599503418
10000,10,event_class,128,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.13035339132572213
10000,10,event_class,256,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.12782898529743156
10000,10,pooled,32,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.12741811061277986
10000,10,pooled,64,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.12682378447304168
