target_active_sessions,window_ms,grouping,threshold_k,repetitions,eligible_share_mean,eligible_share_std,eligible_share_min,eligible_share_max,cohort_size_event_mean,cohort_size_event_p50,cohort_size_event_p90,cohort_size_event_p99,cohort_size_max,wait_ms_mean,wait_ms_p95,mean_active_sessions,active_population_ratio,event_rate_hz
100000,50,event_class,128,5,0.9942065790562815,0.00011133392808630578,0.9940738028211994,0.9943393816863073,270.0979492745315,271.4,296.4,315.2,339,25.009968730338755,47.50653268792716,100031.69538052795,1.0003169538052794,10874.673333333334
100000,50,event_class,256,5,0.788124945609278,0.012616565968675667,0.771965860886343,0.8067318182164954,270.0979492745315,271.4,296.4,315.2,339,25.009968730338755,47.50653268792716,100031.69538052795,1.0003169538052794,10874.673333333334
100000,50,event_class,512,5,0.0,0.0,0.0,0.0,270.0979492745315,271.4,296.4,315.2,339,25.009968730338755,47.50653268792716,100031.69538052795,1.0003169538052794,10874.673333333334
100000,50,event_class,1024,5,0.0,0.0,0.0,0.0,270.0979492745315,271.4,296.4,315.2,339,25.009968730338755,47.50653268792716,100031.69538052795,1.0003169538052794,10874.673333333334
100000,50,event_class,4096,5,0.0,0.0,0.0,0.0,270.0979492745315,271.4,296.4,315.2,339,25.009968730338755,47.50653268792716,100031.69538052795,1.0003169538052794,10874.673333333334
100000,50,pooled,32,5,1.0,0.0,1.0,1.0,544.7298883573643,544.8,574.6,599.4,624,25.009968730338755,47.50653268792716,100031.69538052795,1.0003169538052794,10874.673333333334
100000,50,pooled,64,5,1.0,0.0,1.0,1.0,544.7298883573643,544.8,574.6,599.4,624,25.009968730338755,47.50653268792716,100031.69538052795,1.0003169538052794,10874.673333333334
100000,50,pooled,128,5,1.0,0.0,1.0,1.0,544.7298883573643,544.8,574.6,599.4,624,25.009968730338755,47.50653268792716,100031.69538052795,1.0003169538052794,10874.673333333334
100000,50,pooled,256,5,1.0,0.0,1.0,1.0,544.7298883573643,544.8,574.6,599.4,624,25.009968730338755,47.50653268792716,100031.69538052795,1.0003169538052794,10874.673333333334
100000,50,pooled,512,5,0.92624253484241,0.015515843895949177,0.906275916292395,0.9466474416191762,544.7298883573643,544.8,574.6,599.4,624,25.009968730338755,47.50653268792716,100031.69538052795,1.0003169538052794,10874.673333333334
100000,50,pooled,1024,5,0.0,0.0,0.0,0.0,544.7298883573643,544.8,574.6,599.4,624,25.009968730338755,47.50653268792716,100031.69538052795,1.0003169538052794,10874.673333333334
100000,50,pooled,4096,5,0.0,0.0,0.0,0.0,544.7298883573643,544.8,574.6,599.4,624,25.009968730338755,47.50653268792716,100031.69538052795,1.0003169538052794,10874.673333333334
100000,50,route_key,32,5,0.6617086070389856,0.0009219960865249409,0.6604935155139626,0.662533281456221,146.39874673980347,111.2,274.4,295.2,320,25.009968730338755,47.50653268792716,100031.69538052795,1.0003169538052794,10874.673333333334
100000,50,route_key,64,5,0.6596510392527556,0.001319863630810172,0.6578406669145107,0.660994106664003,146.39874673980347,111.2,274.4,295.2,320,25.009968730338755,47.50653268792716,100031.69538052795,1.0003169538052794,10874.673333333334
100000,50,route_key,128,5,0.4794620269605877,0.0018835784441674967,0.4764081592688296,0.4814801724204169,146.39874673980347,111.2,274.4,295.2,320,25.009968730338755,47.50653268792716,100031.69538052795,1.0003169538052794,10874.673333333334
100000,50,route_key,256,5,0.30279317521228244,0.01153033479966524,0.289240824767013,0.3160750387171095,146.39874673980347,111.2,274.4,295.2,320,25.009968730338755,47.50653268792716,100031.69538052795,1.0003169538052794,10874.673333333334
100000,50,route_key,512,5,0.0,0.0,0.0,0.0,146.39874673980347,111.2,274.4,295.2,320,25.009968730338755,47.50653268792716,100031.69538052795,1.0003169538052794,10874.673333333334
