hardware,agent_count,state_width,action_count,mode,threads,repetitions,median_wall_ms,mean_wall_ms,std_wall_ms,p10_wall_ms,p90_wall_ms,median_ns_per_agent_step,correctness_valid,cv
NVIDIA GeForce GTX 1660 Ti,65536,32,1,cpu,1.0,10,186.595815,190.5553651,12.846761025202733,178.5123531,205.0190707,44.48790907859802,True,0.06741747217907502
NVIDIA GeForce GTX 1660 Ti,65536,32,1,cpu,8.0,10,123.93050550000001,138.3696715,27.69895762812712,119.7488158,169.5451189,29.54733502864838,True,0.20018084402351938
NVIDIA GeForce GTX 1660 Ti,65536,32,1,eager-host-visible,,10,36.5808705,36.687633899999994,0.24339651477485097,36.478307199999996,36.9582666,8.721559166908264,True,0.006634293054664695
NVIDIA GeForce GTX 1660 Ti,65536,32,1,eager-resident,,10,33.8261525,32.7041984,1.5751918913134357,30.696882900000002,34.001238,8.064783215522766,True,0.048164821899852335
NVIDIA GeForce GTX 1660 Ti,65536,32,1,graph-resident,,10,30.634723,30.6370832,0.015314401963872914,30.6216941,30.6570319,7.303887128829956,True,0.0004998648815195604
NVIDIA GeForce GTX 1660 Ti,65536,32,8,cpu,1.0,10,230.31138950000002,230.789808,3.601111909842415,227.3472269,233.7330109,54.91051423549652,True,0.015603426949609556
NVIDIA GeForce GTX 1660 Ti,65536,32,8,cpu,8.0,10,135.4086345,133.6995921,4.8843973280880215,127.4777918,138.6051669,32.283934235572815,True,0.036532626998852465
NVIDIA GeForce GTX 1660 Ti,65536,32,8,eager-host-visible,,10,36.657348,36.7320455,0.21031011771522,36.513082600000004,36.9581014,8.739792823791504,True,0.005725521539910431
NVIDIA GeForce GTX 1660 Ti,65536,32,8,eager-resident,,10,30.7150645,30.7401702,0.05207784423725708,30.6905138,30.7972657,7.323042035102844,True,0.00169412999012143
NVIDIA GeForce GTX 1660 Ti,65536,32,8,graph-resident,,10,30.727088000000002,30.724307599999996,0.015306431264160597,30.7053164,30.7409341,7.325908660888672,True,0.0004981863696795107
NVIDIA GeForce GTX 1660 Ti,262144,8,1,cpu,1.0,10,652.880033,653.2406708999999,5.4718897717886685,647.5581853,660.6477948,38.91468244791031,True,0.008376529532752136
NVIDIA GeForce GTX 1660 Ti,262144,8,1,cpu,8.0,10,261.990898,272.37122680000004,26.313147334383956,254.75422179999998,291.65108,15.615874409675602,True,0.09660766169587173
NVIDIA GeForce GTX 1660 Ti,262144,8,1,eager-host-visible,,10,73.501426,73.51583289999999,0.30368231473054164,73.1610938,73.8435763,4.381026387214661,True,0.004130842333564063
NVIDIA GeForce GTX 1660 Ti,262144,8,1,eager-resident,,10,57.837868,60.5929672,4.493996129251924,57.492621299999996,67.0193107,3.4474055767059326,True,0.0741669592515338
NVIDIA GeForce GTX 1660 Ti,262144,8,1,graph-resident,,10,56.915139499999995,56.946655299999996,0.09414119354583007,56.8541126,57.0653069,3.3924066722393036,True,0.0016531470206614589
NVIDIA GeForce GTX 1660 Ti,262144,8,8,cpu,1.0,10,843.341838,844.7803182,8.664210843350004,836.4079319,857.2112703,50.26709067821503,True,0.010256170340013497
